ionMz,Top annotation name,mansuy8_059,mansuy8_059,mansuy8_036,mansuy8_036,mansuy8_054,mansuy8_054,mansuy8_030,mansuy8_030,mansuy8_074,mansuy8_074,mansuy8_011,mansuy8_011,mansuy8_049,mansuy8_049,mansuy8_005,mansuy8_005,mansuy8_044,mansuy8_044,mansuy8_032,mansuy8_032,mansuy8_050,mansuy8_050,mansuy8_020,mansuy8_020,mansuy8_024,mansuy8_024,mansuy8_019,mansuy8_019,mansuy8_060,mansuy8_060,mansuy8_017,mansuy8_017,mansuy8_070,mansuy8_070,mansuy8_033,mansuy8_033,mansuy8_068,mansuy8_068,mansuy8_055,mansuy8_055,mansuy8_031,mansuy8_031,mansuy8_034,mansuy8_034,mansuy8_018,mansuy8_018,mansuy8_066,mansuy8_066,mansuy8_080,mansuy8_080,mansuy8_041,mansuy8_041,mansuy8_027,mansuy8_027,mansuy8_056,mansuy8_056,mansuy8_071,mansuy8_071,mansuy8_043,mansuy8_043,mansuy8_012,mansuy8_012,mansuy8_029,mansuy8_029,mansuy8_035,mansuy8_035,mansuy8_015,mansuy8_015,mansuy8_078,mansuy8_078,mansuy8_004,mansuy8_004,mansuy8_079,mansuy8_079,mansuy8_064,mansuy8_064,mansuy8_077,mansuy8_077,mansuy8_040,mansuy8_040,mansuy8_039,mansuy8_039,mansuy8_028,mansuy8_028,mansuy8_065,mansuy8_065,mansuy8_023,mansuy8_023,mansuy8_053,mansuy8_053,mansuy8_022,mansuy8_022,mansuy8_026,mansuy8_026,mansuy8_072,mansuy8_072,mansuy8_063,mansuy8_063,mansuy8_061,mansuy8_061,mansuy8_069,mansuy8_069,mansuy8_062,mansuy8_062,mansuy8_067,mansuy8_067,mansuy8_076,mansuy8_076,mansuy8_073,mansuy8_073,mansuy8_045,mansuy8_045,mansuy8_014,mansuy8_014,mansuy8_057,mansuy8_057,mansuy8_025,mansuy8_025,mansuy8_010,mansuy8_010,mansuy8_021,mansuy8_021,mansuy8_042,mansuy8_042,mansuy8_037,mansuy8_037,mansuy8_016,mansuy8_016,mansuy8_075,mansuy8_075,mansuy8_051,mansuy8_051,mansuy8_038,mansuy8_038,mansuy8_052,mansuy8_052,mansuy8_006,mansuy8_006,mansuy8_112,mansuy8_112,mansuy8_102,mansuy8_102,mansuy8_108,mansuy8_108,mansuy8_100,mansuy8_095,mansuy8_095,mansuy8_101,mansuy8_101,mansuy8_103,mansuy8_103,mansuy8_098,mansuy8_098,mansuy8_113,mansuy8_113,mansuy8_116,mansuy8_116,mansuy8_096,mansuy8_096,mansuy8_105,mansuy8_105,mansuy8_089,mansuy8_089,mansuy8_086,mansuy8_086,mansuy8_114,mansuy8_114,mansuy8_107,mansuy8_107,mansuy8_104,mansuy8_104,mansuy8_111,mansuy8_111,mansuy8_097,mansuy8_097,mansuy8_081,mansuy8_081,mansuy8_082,mansuy8_082,mansuy8_088,mansuy8_088,mansuy8_092,mansuy8_092,mansuy8_094,mansuy8_094,mansuy8_115,mansuy8_115,mansuy8_093,mansuy8_093,mansuy8_085,mansuy8_085,mansuy8_084,mansuy8_084,mansuy8_087,mansuy8_087,mansuy8_083,mansuy8_083,mansuy8_099,mansuy8_099,mansuy8_091,mansuy8_091,mansuy8_109,mansuy8_109,mansuy8_106,mansuy8_106,mansuy8_090,mansuy8_090,mansuy8_110,mansuy8_110
168.0779,Methyl-His,99023,93776,90566,100862,98727,105243,107818,102786,99892,97693,96600,97428,102988,99850,92477,95195,103677,101581,111676,106717,101885,99630,105536,106321,99621,101373,96161,101008,112653,107722,103945,98804,101152,104457,106951,100479,101810,107397,99455,103467,105679,100287,93820,99229,98958,103294,100639,108828,109469,110769,98974,98345,103535,105202,104611,111289,115181,121296,109073,102238,92362,99353,101154,108366,105058,108969,99335,106301,104496,106822,103078,98737,99576,96426,102528,107378,116544,112039,108417,108457,108773,97697,93873,99398,103058,108047,91146,93356,91001,92309,95169,90562,98132,90901,94013,100769,94908,96770,98939,101042,96687,88402,100837,106344,99932,102474,101096,109376,104940,102459,101877,98491,96574,94881,98096,98956,110198,106367,106442,111017,104559,99130,108653,110326,110406,105607,102045,104389,104582,101126,102041,107719,102040,108367,102220,109298,105393,104142,92830,102700,106948,105536,105904,109445,112446,102220,98492,95031,97001,104473,111955,97560,98623,113000,118776,107356,114490,106897,111470,112667,108537,109766,111929,100462,95252,107013,114025,113515,112391,106205,105807,108459,113566,103031,105963,101625,107444,107172,112061,113027,110370,103439,104051,104147,111265,112128,122061,120102,108875,113655,110877,105829,105727,107490,113090,108160,112893,113249,110987,107725,109641,106340,110060,104907,109261,107488,106187,110558,107773
168.086,4-Butyl-5-ethylthiazole,18627,20655,22233,17193,19824,20060,19138,20045,18633,19348,18636,19096,18565,18789,19816,18239,22990,20540,20096,18037,18144,19181,20044,18847,20407,18157,19025,20537,21451,21125,18568,17689,19861,19396,21878,21386,18015,21239,22474,22804,20150,18044,18441,18993,20892,19262,19389,20699,21795,20814,20065,19774,20371,18330,22180,20531,22678,21939,18514,19093,18962,19071,21137,17508,20175,21816,18675,19758,18733,18424,18770,21335,20580,20651,19655,21134,20650,19032,19779,20388,22655,20305,18794,19896,19611,21395,18084,18754,16638,19558,19054,19986,19065,18361,20107,18036,20316,17817,17038,19910,20386,20153,19332,19116,19068,17934,18081,20485,19337,18279,18364,20399,17719,18433,19943,21267,19854,19018,19721,19795,18746,19151,22285,19839,20597,20687,20362,19896,19804,18754,19654,20190,18794,21135,19990,21049,20930,20288,20144,21777,20557,20645,20485,20085,19472,19431,21039,21493,21015,20007,19454,21118,18550,22455,22772,20943,22153,21006,20740,20854,20182,18795,20435,19424,20932,22341,21164,21198,21011,19681,20079,20818,20210,19259,20073,21820,22901,20091,19779,20867,19323,18771,21359,19687,21286,21994,18374,19446,18676,20547,19388,21671,18798,19895,20464,19545,19365,20681,18608,17553,19560,21337,18731,19507,20399,21522,18694,21734,21122
168.9283,"1,2,4,6-Tetrathiepane",12452,11501,10348,12283,11853,12776,12769,11980,11422,12334,10780,9558,12124,10637,13329,12292,12224,10991,9531,9281,11033,10217,11307,10880,11825,10267,10783,10675,9916,10426,9953,9507,11171,9892,10469,11871,10602,11328,11365,11430,11267,10303,10394,11468,13083,11197,10539,12203,11147,10096,10838,10460,9806,9543,11011,10202,10736,10351,10827,10277,11728,10636,11210,12336,10822,10636,10581,10979,10452,9627,10047,11024,11405,12197,11625,13643,10312,11168,11913,10923,10864,10695,11503,12019,11506,9993,12198,9723,11637,10960,11264,11510,12208,10932,10261,10974,12084,11616,10619,11765,9624,11166,11894,11237,10145,11028,10168,10660,10641,10563,11375,10784,12042,9528,10789,10016,9980,10895,10721,10403,10626,10079,10948,11000,11318,10145,11491,11488,11222,9478,10944,11280,10855,11023,10879,11775,11243,10615,10616,9258,10574,12247,9928,10067,9691,10154,10915,9474,11445,9430,9600,10699,9988,10485,10189,9999,9072,10532,9251,9300,9598,9407,10773,10472,9967,10292,10714,9127,11964,9496,10349,9317,10532,10434,9487,10362,9878,10840,10401,11505,10993,9353,10279,11643,10300,10983,9962,10665,10537,10334,9721,9526,11136,11732,10297,9279,10839,10634,12722,10542,12256,10567,10887,10553,10026,10113,10715,11044,10546
168.9898,Glycerone phosphate,36795,33655,31571,31361,28666,26686,30730,31811,31914,29925,28622,32599,29087,31954,27630,29781,27833,28127,29496,27741,26494,29640,29975,27477,28330,29851,28747,28132,25543,27523,32584,31632,29496,31782,27459,29668,28721,30150,29136,29555,29520,29541,29195,33979,32135,30407,30336,31458,28323,28263,27969,28446,30147,34105,26933,29129,27405,28633,30401,29350,28582,31051,29380,33092,28423,28568,30717,29543,29619,31563,30938,34932,34976,33257,33066,34553,30149,31010,30906,32014,31484,33568,34008,34760,29994,35039,33466,30418,33876,33155,37685,40102,34796,32602,39069,27747,30006,30565,29490,33889,29799,33139,29486,31572,31320,31812,31847,32518,32919,32142,29292,31466,33884,32367,32529,27953,29363,28234,27465,28779,26492,29725,33191,32327,28521,30140,29557,26264,27380,29773,28165,29049,32186,32162,30132,29212,26757,27524,29862,27037,31586,30352,29703,28048,31632,29513,34125,26282,28574,29426,31945,33165,26795,28083,26322,28534,27172,28349,29415,27371,29752,30438,32190,29196,30970,28976,25619,28576,25640,28933,29030,26258,29712,28226,29639,27902,29424,28107,31854,32657,27789,28169,28616,28254,30661,31126,26558,28756,31250,29373,32091,34186,33411,29008,30274,31318,32805,33696,31724,29201,32559,32079,32392,30721,29907,24909,26292,30280,29972
169.0441,Propylthiouracil,29306,27116,31673,33208,34038,35375,32551,33114,32754,34863,34888,34510,33292,33564,36458,33052,36998,35878,33837,33762,34779,33957,34092,34029,34869,38365,38767,34621,33388,34948,37529,35732,33187,32088,36651,37877,34753,33328,38710,36616,37358,33813,34080,36101,34197,35069,34543,33720,33527,34303,35142,35260,35552,34298,34036,37257,36747,38074,36608,39095,33612,37143,33169,37152,33206,36319,37406,36509,39090,35350,35468,36463,35075,34910,36897,37040,35123,34984,37442,33336,33960,35458,30988,31904,33665,34712,33841,35204,32243,33421,35198,32483,30898,31524,35122,36166,36918,35860,31002,33014,36541,37530,31693,34854,33919,34962,33769,35114,34866,31931,35447,35927,35059,33558,32431,37418,39925,36445,36258,37606,37106,35975,40458,37136,36825,36743,35347,35112,36850,38685,36418,38239,37729,36120,37608,38234,37540,36135,35317,37939,35809,39611,35398,37136,37182,34302,35799,31962,34872,34448,36108,36004,39159,38208,39476,38432,39407,37646,37163,37584,37294,38736,44042,37023,37806,38314,41346,38920,36418,36546,38882,36772,36683,33238,40175,36318,37834,40725,39301,35813,37708,39375,37539,36982,38672,36555,41895,42581,40594,39297,38671,38404,37463,34118,39208,37746,38875,37964,36610,38773,38444,36627,35839,36076,36068,42617,35889,41412,39927
169.0505,"3,4-Dihydroxyphenylglycol",14300,14545,15796,16405,14364,17075,12974,14421,15676,13951,14509,14759,15495,16429,15901,14000,14142,13693,14601,15723,15981,14139,15571,14136,15138,14802,17586,13970,14837,16166,15296,14794,15804,13776,16466,16546,15841,17188,13979,14277,13998,15868,15407,15219,15099,14790,15372,15237,13197,15502,14842,14031,18704,13565,14676,13984,14414,13791,13704,14955,13650,14341,14464,15636,15539,14611,13061,13967,13699,13787,16195,13953,15999,14786,14927,13369,14604,13452,14683,15530,14826,14892,14712,14259,15404,14363,14374,14661,15281,14907,14517,15013,14318,13657,13391,14148,14763,14452,12672,15089,16048,15254,13749,16396,15101,15687,12945,15075,13402,13475,13810,15901,13484,14235,15237,15550,17342,15481,14754,14160,15469,14976,15988,14355,16200,14495,14966,16780,14951,14560,16181,15305,14579,13323,13869,15615,13965,13138,12796,15171,14393,16462,13067,13277,15977,17522,14821,14946,12966,13983,12850,15198,15507,14799,14439,13445,13700,14302,14619,13474,13895,15516,14602,12431,14056,14087,14433,13852,15722,15605,14232,14971,14779,17939,16196,15981,14581,17909,14171,13376,13615,14543,15878,16546,15412,15615,12989,15239,15428,14530,15425,15645,14305,14058,16104,16110,16798,15899,14697,14031,15434,13030,14700,15463,13243,14100,13322,15115,15576
169.0868,"1,4-Ipomeadiol",13871,13499,13047,11912,14126,13799,12357,13888,13734,11484,13783,14329,13619,13888,14698,13677,13519,12653,12018,12063,15289,11999,12676,14087,12204,12989,12977,13242,11834,11962,12588,13078,12863,15497,12444,14127,12417,12525,12903,12242,13019,13853,12557,12878,12260,12575,11704,12444,11821,13244,14097,12350,12856,13224,13357,12116,11470,13275,11357,11795,13153,12728,14178,13170,15863,12871,13684,12077,12702,12048,13291,11185,12467,12707,12544,11958,12781,11156,11929,12231,14412,12921,14053,11556,14945,11252,12623,12750,12869,13411,12063,13837,16456,11390,14311,13800,11002,13741,13520,12000,13934,11338,13448,13155,13501,12691,16278,13229,12386,12141,12836,12001,12957,11516,11828,11625,13716,12039,13145,13308,12368,11680,12409,12883,12077,12232,12907,12022,12028,11855,13043,13538,14512,13344,11902,13390,12313,11989,12908,12961,14435,12605,13806,12911,15216,12091,15939,12950,12632,11157,11412,11999,11931,12789,11603,13356,12221,12262,13619,12566,13469,12538,12822,13327,12507,12005,12194,16429,12670,13399,12702,12866,12557,12796,13028,13755,17135,11338,13763,16084,11028,14671,12699,16259,13894,11678,11968,14547,18592,17235,13448,13036,12887,13117,11470,12950,17795,11880,11801,13304,12933,12369,13046,16461,11207,14279,12163,12814,13098
169.0984,Levetiracetam,45184,49689,49870,55776,53047,55888,57943,55386,52177,56627,57823,58710,56364,61034,56677,61721,61791,62055,61831,62298,65834,62742,62605,60313,65597,62435,61757,66513,66796,61142,68194,67878,67396,66490,64222,64264,66864,64480,66927,67861,64538,66929,61093,66584,52144,56944,62024,65744,60728,68163,65626,60750,62269,67504,64261,66728,69537,71225,71132,70678,62163,67827,66366,68360,56487,62665,67388,66821,67592,69405,65420,63633,64077,62012,63258,65978,62235,61349,67031,67901,65714,65089,61766,63147,56875,58185,63547,59193,60730,59141,59783,58849,56813,57475,63637,59309,62269,59184,60122,61908,64081,64747,55654,58657,67045,65521,58967,60222,60688,62052,61175,60235,63116,63091,57725,62291,68773,66346,64888,62115,66906,68230,67880,69237,62900,66649,62697,67797,63774,68672,66153,64731,66850,68169,65697,67032,64796,69607,62627,63165,66640,67291,65478,65916,69144,66931,67463,62974,62319,69701,69164,68149,68021,65022,63423,73792,72638,67114,73598,71522,74160,72880,66008,67993,66535,66451,70603,75438,70027,71799,70406,70563,66996,72006,71486,73663,71855,73871,72753,67967,73823,69031,72414,69132,75851,65326,72877,82091,77968,78601,73420,69647,76160,70734,71327,72898,72967,74469,74423,72088,71814,75451,68475,64067,66283,67990,71672,76413,83691
169.1234,C10:1,17231,17555,21393,18529,20720,21508,18177,17420,19593,19102,17271,17699,16735,16923,19784,19813,17923,21980,15818,17489,18517,21731,19769,18854,19295,20120,19271,20387,18742,17910,18061,18944,17760,16139,20971,21216,20727,19411,23517,23620,17925,16138,21862,21915,18141,17923,18627,20142,18407,17587,18319,17132,19343,20050,19962,19012,18036,17752,19178,18017,19272,20105,16280,15991,19648,16420,19448,18383,20742,20191,19147,17813,18136,17124,16790,19428,17998,17219,16313,18623,19175,19131,17169,17347,19186,16853,18913,20718,19507,20313,16826,16903,17941,18588,21074,20779,18748,20606,18439,19812,20304,20557,23119,22729,20825,21115,20461,20762,17929,16654,22616,21068,18217,20697,24132,22890,21779,18417,15689,19234,17755,18818,16977,15433,19614,18505,17418,19045,17575,19592,21162,20677,20722,20432,16637,19630,23464,20131,20784,21413,19134,16157,16851,16199,20470,18004,17944,17867,18115,18819,18945,19239,18824,18102,17979,17056,18866,19390,18481,17225,16494,21300,20878,16641,17534,19597,17386,16107,18565,21992,18902,19202,16851,18999,19428,22132,24769,18378,16695,22254,22746,20604,17755,23234,19134,18558,17417,20727,20378,16255,17971,16610,17638,16320,19058,19482,17503,19770,17134,16659,16528,18343,18529,19801,19238,21591,19312,17778,18356
170.0461,Tetrahydrodipicolinate,18815,17392,18434,20628,20296,19513,19508,17418,19235,20139,19467,18911,19479,18225,19313,17275,18587,20826,20190,18343,21147,19756,20031,17244,22200,19427,18654,20116,20640,19455,17315,17990,19846,21077,22152,21292,19839,21363,20525,18775,20128,19441,18726,20106,19160,19344,19708,21069,19484,18934,20688,18782,19944,21295,19399,20265,19054,21577,19138,18989,20486,19589,19661,21399,19851,19091,19671,19730,19339,20731,21134,19963,20670,21495,19978,18407,19573,20037,17605,20252,20931,19703,21732,19428,19925,17670,19892,18383,20933,20981,19820,19686,17719,18329,19545,19869,20032,20334,20158,19562,22339,19863,18794,21773,19700,20117,18460,20205,20462,19268,19260,23390,20446,20224,17893,18657,18976,20668,21159,18280,20185,18190,17153,20959,20284,20410,21022,21765,18000,19704,19991,21996,21565,20763,20873,17946,21260,18673,18872,16219,18574,20575,20963,22937,20867,21291,18774,18686,19957,17705,21279,20799,22323,21096,20616,19540,21502,21256,23038,19130,21087,21130,19803,19996,19047,19779,18904,20995,22088,19861,19644,22908,19694,20780,19887,19663,19849,18509,20926,21230,20730,22012,19551,20549,19937,20921,22071,21680,21008,19147,20614,19335,19406,21228,19956,19944,16883,22908,19873,22729,20191,20369,20400,20546,20900,19803,21579,21704,18919
170.0572,Metronidazole,41651,42797,44884,47234,47527,50432,46332,44501,45990,46370,46391,43562,46806,46223,44874,45219,55083,53697,51751,48319,47593,49858,48524,48746,52435,50788,56204,54622,55466,51333,49841,46176,48900,44503,52742,52933,46953,46534,55986,49553,45295,43713,46713,46811,45194,46050,48394,52810,52894,52437,50885,50657,51671,45212,56535,57254,54725,61504,56203,50188,48653,50758,49399,48838,50343,52348,51542,49701,51127,49893,48134,47808,48186,44921,46413,49462,51431,48995,48039,47666,47301,43233,42969,45771,46371,48405,45334,45426,43668,43226,42430,41147,43086,45761,47456,50465,49218,47358,48065,45178,46635,46846,46184,48161,46867,48296,47138,48525,48845,50405,46085,49293,47591,47087,51125,51504,51028,49484,53074,54130,50863,50508,48148,51243,49430,47596,53597,47348,46230,47905,50565,52954,51585,51882,51420,53176,51967,51978,50459,50273,52513,51130,52950,52963,51799,49096,48768,49110,52230,48120,49922,49983,53544,54509,57598,55311,53003,61576,52946,58271,53887,54597,57625,49977,48567,54517,55058,53184,51693,55403,56310,52614,50783,53703,52976,52407,55884,54174,54182,51903,53933,50937,53302,52950,55615,58278,64158,56605,55699,51083,50426,50475,52357,51619,53568,55820,51469,54329,51190,52542,50047,50835,51685,51998,52103,56368,62820,52670,58354
171.0066,Glycerol 3-phosphate,52564,59616,46486,41820,45996,41396,45542,47417,54982,48932,48779,54725,52908,46309,44239,42559,46105,51297,44742,48390,42094,38290,49454,52491,48253,45081,38604,38495,37909,40223,44816,43576,46418,44135,44432,43153,42555,45958,45512,47889,43421,47883,44954,46374,43743,48274,44205,44369,43231,47121,42369,39178,43706,44669,44900,42063,44098,41550,46859,46225,40345,40408,40057,44176,41740,42664,41960,42104,46721,46347,46046,45109,48876,48243,42906,43662,45546,43270,47165,46212,46326,47596,49955,49302,46529,44573,42810,39967,48636,50952,51080,50570,50134,52248,46950,48535,40340,44238,49687,48023,46776,42476,44155,44650,44720,41825,44427,46134,45583,45592,42682,42913,44720,44956,43755,41883,42374,43234,44896,47227,42438,37007,44125,42639,41098,44582,37860,36163,44437,46864,43003,41463,42011,42251,44622,42018,43020,42068,43362,40045,47346,45716,41213,41989,49313,43605,47232,40132,35105,43086,43478,38105,39960,39708,38656,40616,40993,35279,37497,37552,40093,39455,40630,39416,40725,41337,37302,38780,39349,36309,36816,39986,35486,40261,40905,41035,42260,41149,39402,40925,39236,35297,35764,36232,35741,40560,38567,37770,39464,42414,41608,47556,43293,44226,42525,39075,36729,38712,38100,40099,43900,44621,39047,37611,38596,40199,41526,37495,37847
171.0132,p-Toluenesulfonic acid,11578,13416,13507,11745,12352,12709,12183,10978,13294,12136,12531,11646,13124,13765,12330,11387,11511,12025,11177,10705,12158,11995,12896,13025,12966,12207,10915,14275,11911,9858,12056,11867,12607,13670,13173,13533,13384,11377,11908,12442,11793,11114,12851,12053,11026,12813,10991,11765,13009,11938,12827,10376,11363,12832,12712,12134,11813,12196,13222,11665,11920,11294,11691,11588,11741,11405,11630,14159,12664,11363,12239,12897,11959,12127,12353,10445,13586,12897,13011,12201,12229,12473,11916,12015,12894,12152,11505,11930,11246,12697,14076,12773,12943,10886,12718,12423,11532,11325,12184,13286,11787,12323,11218,12112,11293,10043,11293,12739,11746,12563,10947,11633,14036,12945,12129,9525,12040,12310,10993,11945,12706,9863,14426,10265,11087,11367,9856,11658,12129,11940,11657,11400,12086,12209,13030,11809,11704,11791,13352,12321,10790,11773,9705,10713,12459,12426,12469,10153,10193,11897,11570,9529,11277,11086,11367,10952,11749,12123,11879,13014,11754,11304,10804,11092,11773,11145,12304,11647,12811,10642,9831,10949,10430,11850,11031,11024,10753,11282,12214,11667,13896,12122,10578,9821,11354,10686,11351,10568,11845,12334,9981,11523,13461,11031,12188,13354,11528,10921,10694,12103,11731,10970,11486,11791,10013,11019,11377,12160,12901
171.0413,Hydantoin-5-propionic acid,26019,25190,26009,25832,29071,26655,23455,24940,25521,27003,24158,25747,25421,26019,25330,24936,28439,26316,29355,26810,23557,27888,24758,25912,26121,25542,28593,28670,27849,27181,25312,25171,24104,23831,29300,28644,25174,24491,25573,25544,23708,23904,23472,25154,26344,26364,26605,25565,26550,26721,26531,27013,24806,24093,28296,28434,27775,27194,25423,26314,24810,26029,26500,25594,29029,26561,24918,24282,25512,25136,25061,24049,22891,24078,27007,26446,26178,26655,25668,26176,24780,22363,22767,23357,24531,24065,24248,24436,23342,23805,26032,25087,24729,23936,24398,27390,25413,25055,25874,23714,26698,24404,24582,24323,26729,25338,26739,26972,23819,24873,26762,26768,25703,24224,30029,26440,22141,27946,25959,28932,27503,27585,27085,24215,25018,27144,29360,26759,24881,24842,27404,27367,28144,25659,24968,27755,25266,28275,25025,28130,26395,27477,28848,26933,30256,25791,27042,28579,26767,27189,24337,26982,26539,31789,29621,25762,27764,29697,28217,26420,26701,25851,26904,24715,24120,28721,27113,27415,26711,27611,28647,24875,25799,25086,27428,26422,26855,27236,28680,26136,25660,28714,27112,26600,27327,30909,28163,25303,23994,25644,27553,26369,24700,28328,27612,30415,27332,27656,25964,25145,24913,25797,27010,27231,26664,30487,26033,27457,24173
171.0657,2-Octenedioic acid,31202,33830,33852,32087,30889,36573,27942,26988,32192,32526,28474,28150,31231,27515,26727,30109,26830,32684,29273,28024,28788,29447,29567,27028,29494,28984,29519,25902,25328,24880,26551,29209,26165,29189,27397,29445,32208,27234,29516,29158,28607,30161,27558,31106,29378,32140,30106,28281,27817,23694,26600,30599,29770,28670,31744,26715,26171,26595,28458,26260,29065,24984,27886,28781,28972,32154,28660,25934,29130,28250,28308,29541,29598,30758,28601,31216,30081,30038,29752,27676,28959,27642,28821,29244,30855,29641,30249,28435,27684,30067,32803,28012,31814,31476,31490,31034,26544,27848,28970,28401,31313,29277,27862,28108,26477,26810,30458,31666,27622,30016,25223,28531,28357,28673,31312,25759,29021,28373,29660,30210,25485,26376,28448,28135,27222,28420,28091,26152,28358,27688,30696,32738,28177,28321,29042,29557,28648,29402,29385,29320,29896,30119,28528,28837,29451,27103,32324,28310,29179,29659,25979,26885,29927,25523,26673,25584,26914,24772,29978,30147,26673,26649,24815,26568,28192,28677,27448,26111,27078,27077,25855,27267,27816,27454,28583,25975,29131,27888,24105,26975,30127,27306,27505,28482,28233,26638,24624,25908,28401,28023,25648,27665,27207,26710,27387,26925,26605,28811,28154,27838,30606,28709,28471,29525,28956,28640,29554,28073,29525
171.0775,Glycylproline,18615,18500,19604,18277,19532,18452,19101,17540,21267,20668,18705,18794,17510,19198,19160,19238,17344,18531,16685,18754,19411,16247,20154,16535,19258,18761,20505,21316,18879,21177,19726,18983,20503,19287,18418,20479,19088,17407,19209,17899,17540,18156,19094,19095,21755,17988,17308,17375,18213,20118,18758,19034,16874,19366,20443,19490,18253,22172,18548,19195,21882,18096,19938,21523,18686,19704,17821,19899,19290,19001,19306,20972,20052,18197,16436,19295,16194,18405,16092,17352,19141,19048,18878,19894,17429,19726,17505,18013,18368,19596,18976,17180,20346,17696,16886,19358,18696,18512,18062,18038,17893,18578,18938,16604,18096,18482,17601,17091,18482,17786,18638,17706,19787,19045,17294,18907,17387,20533,18368,18973,19151,21882,19248,18397,18664,20672,17531,18275,17171,19761,22489,21115,19815,18978,18859,18368,18240,18441,16620,20226,20654,21566,20468,20062,20735,21464,17116,19438,19932,17414,20152,18897,16859,19818,19611,21653,18698,21910,18399,16344,19451,18488,18212,19559,18024,17691,18318,20627,20017,18142,20099,18560,19615,17328,16144,19539,16924,20064,21046,18828,17254,20120,19028,20355,17170,19498,21372,18067,16364,18904,18788,21507,18743,19560,19088,19529,18954,19119,17899,19659,18249,17951,21348,20268,20502,18810,18386,20224,19604
171.1028,Tetrahydrofurfuryl butyrate,20182,21317,21492,22904,24715,20921,20583,22017,23691,22212,22391,21702,21520,23460,25546,22016,23399,21926,22446,19426,24385,22736,19273,21765,23965,19068,22073,20847,20345,18401,21034,23012,17957,21890,23426,21068,21043,23091,25658,23953,19420,20795,21881,23481,21288,21508,19851,20987,19033,20163,23880,21115,21811,19721,24475,21281,22128,22074,20567,21458,21542,20997,24997,19169,19139,20111,17838,20562,22961,21335,22686,21117,22719,20324,19890,22194,19670,22117,19123,20513,18769,19280,21187,20821,17926,19488,21941,21809,20085,19195,21720,19602,21434,21785,23182,19580,21042,19563,18468,18510,20581,22336,21925,22798,22417,23662,21998,23049,22517,25541,23077,22083,18838,22137,21737,22165,22561,20698,18369,23320,21772,21414,21327,20799,21262,20689,23239,19026,19993,19740,22547,23089,23612,23084,20635,21549,24317,22455,21394,22891,20278,19080,19276,20355,20694,21042,19656,19859,19000,21219,21126,20675,19584,21537,22462,21468,17697,19248,20411,21194,19075,20040,18727,19482,21737,19006,17897,19514,21009,19677,20682,17655,22236,19439,19329,21114,19976,22151,20972,21530,23386,18185,17879,20523,21022,20661,20088,20169,20873,18164,20086,21045,19098,21824,23261,23951,20060,20340,19510,18590,20072,18256,21230,18949,19706,20004,20018,19149,19259
171.1393,Decanoic acid (FA10:0),28260,30316,30145,29562,28643,29525,27164,27273,27698,29098,27474,29059,28244,26929,30535,28405,29117,28938,28792,28733,30404,26193,29910,26456,27427,26341,31207,29179,30647,28174,24582,27196,28449,28697,29924,28610,28064,27092,27192,32874,28058,29097,27977,31091,25983,27678,27538,26577,29066,26959,28265,26663,27778,28014,30618,26612,27276,28400,28621,25844,30607,28038,28243,26597,26774,28698,27995,25131,27537,26933,26901,27140,26425,26243,28675,24841,27513,27665,29733,29281,28883,31115,26985,26800,30755,30306,25806,28657,25154,26548,28783,27193,26188,27079,31700,33859,28481,28680,29617,27445,28721,28911,27787,26860,27925,28352,29845,29840,28055,28227,27569,27077,28120,28149,30242,28550,30969,28342,28501,26337,25473,24867,25855,24574,27780,26146,29864,28059,28339,27411,25920,26326,28254,28265,26515,25992,28501,27114,32206,29957,28180,28966,29460,25454,33684,28891,24619,27769,30189,27892,26983,28028,24578,31850,30205,27414,25709,28308,27932,28512,27575,29339,27968,26302,25491,28924,28178,26666,27748,31450,27922,27618,25580,27583,26129,28738,28170,29197,26944,28865,28103,28571,28577,29081,28261,28547,27990,25494,26675,26522,27951,28067,25798,30883,30521,29471,31458,25116,29092,29506,27737,30142,24972,29633,31092,31357,27503,27594,27750
172.0402,2-Quinolinecarboxylic acid,12927,12117,13973,12875,12377,12103,11744,12911,11418,11473,12465,10779,13030,11732,11906,9701,10941,14385,12950,11093,11646,13643,13175,11564,11768,12381,10656,13363,11744,11084,11799,11475,12784,12616,11447,11314,12898,11425,12753,13101,11403,11149,11743,11305,10614,12963,13264,10814,9604,11260,11291,10805,11550,11914,10753,11052,13556,12316,11945,13550,11644,11147,11166,10790,14117,11111,12486,12647,11292,11213,11129,12215,10604,12573,10408,13122,12463,12446,12219,11195,11624,10978,10177,13951,12213,11898,12317,12856,10067,11793,12083,12106,12346,12448,10811,12176,11382,10774,12306,13066,12440,11753,11750,9685,12529,11766,10665,11036,12093,11703,11692,11124,10102,13190,11051,12176,12525,11973,12634,12582,10414,12260,12472,12588,11008,11782,10628,13435,12885,11036,11437,13602,11213,12506,11749,10874,10496,11099,11217,9980,11249,11081,11919,10523,10391,12620,10354,11399,11648,10898,11478,12720,11766,11937,11186,11690,11072,12081,10173,11267,10931,10638,11820,11413,13269,11162,12721,11405,10569,11944,9616,10582,10534,11172,8723,10170,10800,10402,13110,11316,10915,11162,10545,10309,10431,12969,11599,10362,10512,10639,10723,12907,11713,11398,11841,11778,12895,12905,12757,13689,11073,11503,11984,12059,9370,10958,12283,10783,11591
